
MA 213	Algebra II	Radhika Ganapathy	Tue, Thu	8:30 - 10:00
MA 215	Introduction to Modular Forms	Soumya Das	Tue, Thu	3:30 - 5: 00
MA 222	Measure & Integration	Manjunath Krishnapur	Tue, Thu	3:30 - 5: 00
MA 224	Complex Analysis	Purvi Gupta	Tue, Thu	11:30 - 1:00
MA 229	Calculus on Manifolds	Ved Datar	Tue, Thu	10:00 - 11:30
MA 241	Ordinary Differential Equations	A. K. Nandakumaran	Mon, Wed, Fri	11:00 - 12:00
MA 278	Introduction to Dynamical Systems Theory	Amit Apte	Tue, Thu	10:00 - 11:30
MA 304	Topics in Harmonic Anaysis	S. Thangavelu	Mon, Wed, Fri	10:00 - 11:00
MA 312	Commutative Algebra	Abhishek Banerjee	Tue, Thu	3:30 - 5: 00
MA 319	Algebraic Combinatorics	Arvind Ayyer	Tue, Thu	11:30 - 1:00
MA 321	Analysis III	E. K. Narayanan	Tue, Thu	8:30 - 10:00
MA 338	Differentiable Manifolds & Lie Groups	Subhojoy Gupta	Tue, Thu	3:30 - 5: 00
MA 363	Probability in higher dimensions	Anirban Basak	Tue, Thu	10:00 - 11:30
MA 374	Introduction to the Calculus of Variations	Swarnendu Sil	Tue, Thu	3:30 - 5: 00
MA 380	Introduction to Complex Dynamics	Gautam Bharali	Tue, Thu	11:30 - 1:00
