
MA 212	Algebra I	Mahesh Kakde and Soumya Das	Tue, Thu	8:30 - 10:00
MA 219	Linear Algebra	Apoorva Khare	Tue, Thu	10:00 - 11:30
MA 221	Analysis I: Real Anaysis	T. Gudi	Mon, Wed, Fri	3:00 - 4:00
MA 223	Functional Analysis	Gadadhar Misra	Tue, Thu	11:30 - 1:00
MA 226	Complex Analysis II	Kaushal Verma	Mon, Wed, Fri	3:00 - 4:00
MA 231	Topology	Basudeb Datta	Mon, Wed, Fri	11:00 - 12:00
MA 232	Introduction to Algebraic Topology	Siddhartha Gadgil	Mon, Wed, Fri	8:00 - 9:00
MA 242	Partial Differential Equations	Mrinal K. Ghosh	Mon, Wed, Fri	9:00 - 10:00
MA 261	Probability Models	Arvind Ayyer	Mon, Wed, Fri	10:00 - 11:00
MA 307	Riemann Surfaces	Subhojoy Gupta	Tue, Thu	3:30 - 5: 00
MA 308	Basic Algebraic Geometry	Radhika Ganapathy	Tue, Thu	10:00 - 11:30
MA 326	Fourier Analysis	S. Thangavelu	Mon, Wed, Fri	10:00 - 11:00
MA 336	Topics in Riemannian Geometry	Ved Datar	Tue, Thu	8:30 - 10:00
MA 354	Topics in Number Theory	Ignazio Longhi	Mon, Wed, Fri	11:00 - 12:00
MA 361	Probability Theory	Srikanth Iyer	Tue, Thu	3:30 - 5: 00
MA 365	Topics in Gaussian Processes	Manjunath Krishnapur	Mon, Wed, Fri	2:00 - 3:00
MA 381	Topics in Several Complex Variables	Purvi Gupta	Tue, Thu	11:30 - 1:00
